Source Place,Type,Source Detail,Game Place,Game Function,Use Rule,Source Locator
Trinity College stone gate and Great Gate,Cambridge college,"Stone gate with small wooden door; porter in black overcoat and bowler; Great Court; room opposite gate, three flights up.",Trinity / Old Court Hub,"Arrival, belonging, historical exploration, room-as-status marker.",Exact names are factual; legal/brand review for commercial depiction.,Ch. 30; PDF pp. 232–233.
North cloister,Cambridge corridor,Ripe-wheat stone; Newton echo story; view from library window.,North Cloister,Sound/evidence puzzle and reflective route.,"Use acoustic detail as gameplay, not decorative trivia.",Ch. 30; PDF pp. 232–234.
"College library, small window",Study location,Morning study near small window overlooking north cloister; headphones and notebook margins.,Trinity Library Nook,"Research, music memory, vaccination decision.","Keep the window, light, and sound continuity.",Ch. 30; PDF p. 234.
Stone bridge and King’s College Chapel,Cambridge landmark,"Calm river, autumn leaves, chapel view, long journal entry written at night.",King’s Bridge Reflection Point,Memory-journal hub whose beauty changes with emotional context.,Exact landmark may be used in literary prototype; avoid tourism-ad framing.,Ch. 33; PDF p. 254.
Cambridge library cafeteria,Social academic space,Program students at small table; invitation to Rome grows from ordinary lunch.,Graduate Library Café,Low-pressure social encounter and travel invitation.,"Make belonging happen through seating and conversation, not exposition.",Ch. 31; PDF pp. 241–243.
Harvard Yard,Campus region,"Colonial brick, autumn leaves, less imposing than Cambridge Gothic; suitcase arrival.",Harvard Yard / East Coast Fellowship Hub,New-beginning traversal and outsider contrast.,Exact use requires rights/brand review for commercial project.,Ch. 36; PDF pp. 270–274.
Widener Library,Library landmark,Largest library Mara has seen; wonder temporarily interrupts grief.,Widener / Grand Library,Research hub and visual statement of scale.,Use exact name only in source-faithful prototype; game analogue can preserve massing.,Ch. 36; PDF p. 271.
Graduate dorms near law school,Housing,"Small cavelike room, dark/moist/frigid, ashen walls, lead-colored tiles; communal shower upstairs.",Graduate Dorm Near Law,Domestic pressure when parents visit; constrained camera blocking.,Preserve discomfort and collision of worlds.,Ch. 36; PDF pp. 270–274.
Boston T / subway,Transit,"Card through slot, rotating gate, homeless rider, father’s delight with technology.",Boston Transit,Urban navigation and parent-visit dialogue.,Factual system can be retained; period-accurate fare media required.,Ch. 36; PDF p. 272.
Sacred Grove and Palmyra temple,Religious travel site,"Wooded historical site, temple with angel Moroni, bench beneath canopy, touch-the-stone request.",Sacred Grove Pilgrimage,Worldview confrontation and memory test.,Religious site requires respectful accuracy; never a ‘haunted’ level.,Ch. 36; PDF pp. 272–274.
Niagara Falls,Travel landmark,Family detour after conflict; father’s camera excitement and rare shared happy photograph.,Niagara Detour,Optional memory scene after high-pressure encounter.,Beauty does not erase conflict; photo becomes contested evidence.,Ch. 36; PDF p. 274.
Rome conservatory,School / travel,"Grand staircase, resonant halls, marble floors; learning associated with beauty.",Roman Conservatory,Travel sequence and social-class comparison.,"Use as living school, not museum set.",Ch. 31; PDF pp. 242–243.
Pantheon / Forum / Sistine / Trevi / Colosseum,Rome landmarks,Friends debate ideas while moving through famous sites; Tara initially treats them as sacred museum pieces.,Rome Study Route,"Walking conversations, historical interpretation, social belonging.",Avoid montage-only tourism; each site needs dialogue or action.,Ch. 31; PDF pp. 242–243.
Villa Borghese,Park,"Wine and pastries picnic, sunlight, philosophical conversation.",Villa Borghese Picnic,Low-stakes social confidence scene.,"Use food, heat, and conversation as active elements.",Ch. 31; PDF p. 243.
Piazza del Popolo / Baths of Caracalla / Castel Sant’Angelo / Galleria Nazionale,Rome locations,Sites become as mentally real as the mountain; Caravaggio seen without chicken association.,Rome Memory Constellation,Late travel journal and historical confidence.,Names can remain factual; avoid exhaustive checklist.,Ch. 31; PDF p. 243.
Amman and Wadi Rum,Middle East travel,"Drive south from Amman; Zalabia Bedouin camp, cold sand, sugary tea, dying campfire, Valley of the Moon.",Jordan Travel Chapter,Perspective expansion and cultural conversation.,Consult regional cultural experts; avoid exoticizing Bedouins.,Ch. 37; PDF p. 282.
