asset_id,asset_family,repository_path,primary_role,concept_trailer,gameplay_preview,canonical_status,required_action
PERSIST-01,persistence-bible,assets/persistence-system/bibles/01-detailed-persistence-system-bible.png,"Review eligibility, seeds, and recovery cost",reference,reference,review-reference,Do not use as direct trailer footage
PERSIST-02,persistence-bible,assets/persistence-system/bibles/02-two-page-persistence-system-bible.png,Review loss scenarios and persistence flow,reference,reference,review-reference,Do not use as direct trailer footage
PERSIST-R-01,persistence-review,assets/persistence-system/reviews/slide-montage.png,Review slide sequence and visual coverage,reference,reference,review-reference,Do not use as direct trailer footage
PERSIST-R-02,persistence-review,assets/persistence-system/reviews/pdf-montage.png,Review page sequence and visual coverage,reference,reference,review-reference,Do not use as direct trailer footage
BOARD-01,design-board,assets/previews/character-cards.png,Review cast and visual identity,reference,reference,review-reference,Do not use as direct trailer footage
BOARD-02,design-board,assets/previews/encounter-cards.png,Review encounter structure and choice,reference,reference,review-reference,Do not use as direct trailer footage
BOARD-03,design-board,assets/previews/production-roadmap.png,Review production order,reference,reference,review-reference,Do not use as direct trailer footage
BOARD-04,design-board,assets/previews/relationship-state-cards.png,Review multi-axis relationship state,reference,reference,review-reference,Do not use as direct trailer footage
BOARD-05,design-board,assets/previews/storyboard-overview.png,Review keyframe sequence,reference,reference,review-reference,Do not use as direct trailer footage
BOARD-06,design-board,assets/previews/systems-overview.png,Review core gameplay systems,reference,reference,review-reference,Do not use as direct trailer footage
BOARD-07,design-board,assets/previews/world-overview.png,Review locations and routes,reference,reference,review-reference,Do not use as direct trailer footage
BOARD-08,design-board,assets/previews/worldview-cards.png,Review worldview differences,reference,reference,review-reference,Do not use as direct trailer footage
