Source Place,Type,Source Detail,Game Place,Game Function,Use Rule,Source Locator
Randy’s nut-packing business,Home business,"Cashews, almonds, macadamias packed from a house; long after-school shifts.",Basin Nut & Parcel,"Early paid work, inventory, first computer use.",Use repetitive handwork and radio chatter.,"Chs. 8, 14."
Worm Creek Opera House,Theater,"Dilapidated theater near the only stoplight; dark wings, wooden crate, red velvet seats, backstage worlds.",Cedar Gate Opera House,"Performance system, social hub, secret study balcony.",Strong recognizable anchor; exact name can be retained in literary prototype with note.,"Chs. 9, 12–14, 19."
Carnegie library,Library,"Center of town; children’s room in basement, adult history/science books upstairs.",Cedar Gate Carnegie Library,"Quiet study, public records, self-directed knowledge.","Carnegie naming is factual/historical; visual should feel modest, not grand.",Ch. 5; PDF p. 51.
Stokes grocery store,Business / refuge,"Only grocery in town; straight clean aisles, warm staff, bakery leftovers, employee lot on north side.",Keller’s Market,"Safe work, economic independence, ordinary community warmth.",Exact name is a source anchor; working game name should be original pending legal review.,"Chs. 16, 19–21, 39."
Dime store across from theater,Small retail,Candy errand reachable from Worm Creek; used in a coercive loyalty test.,Cedar Five-and-Dime,"Quick errands, social observation, small-town crossing.",Signage should be visible in theater street scenes.,Ch. 12; PDF p. 106.
Bowling alley,Family history site,Faye waitresses there when she meets Gene and his mountain friends.,Basin Lanes,Optional family-memory scene and old photograph location.,"Use as pre-game history, not a long flashback.",Ch. 3; PDF pp. 33–34.
Hardware store in town,Retail / practical,Slide-bolt lock purchased there; ordinary place for tools and advice.,Ridgeway Hardware,"Tool purchases, lock/safety system, town tutorials.",Place branded boxes and screw types in dialogue.,Ch. 13; PDF pp. 117–118.
County courthouse,Civic building,"Driver’s license, birth documentation, affidavits, passport problem-solving.",Basin County Courthouse,"Records, identity proof, incident filing, map access.","Institutional friction should be specific, not generic red tape.","Chs. 2, 28."
Town hospital,Medical institution,"Emergency lane, glass doors, ice-blue sofa, pale walls, plastic clock; contrast with home care.",Bear River Community Hospital,"Emergency choice, records, public-care consequences.",Use clinical sensory detail and staff competence without sanctifying the institution.,Ch. 16; PDF pp. 140–142.
Cornish accident site,Road / farmland,"Farming town twenty miles south of Buck’s Peak; ditch, cedar utility poles, row-crop tractor, power lines.",Cornish Road Bend,"Driving fatigue, environmental evidence, memory reconstruction.",Preserve plausible road geometry and utility hazards.,Ch. 4; PDF pp. 38–45.
Bear River Hill,Road landmark,Dark backcountry incline; repeated route to town and hospital.,Bear River Hill,Travel threshold between mountain and town.,Exact geographic name is factual; use if setting stays in real Idaho.,Ch. 16; PDF pp. 138–142.
Fivemile Creek,Road / water landmark,Flat stretch parallel to creek; part of familiar night route.,Fivemile Creek,"Navigation, vehicle dialogue, accident memory.",Exact factual place name can anchor the map.,"Chs. 16, 19."
Sardine Canyon,Mountain road,Snowstorm gate into the valley; bald tires and weather risk.,Sardine Canyon,Dynamic winter travel region.,Exact factual name can be retained if geography is real.,Ch. 14; PDF p. 123.
Malad City,Work town,Dusty farm town on far side of Buck’s Peak; industrial granary construction.,Malad City,Construction site and early institutional emergency.,Use exact geography in source map; game contracts may be fictional.,Ch. 14; PDF pp. 119–125.
Blackfoot,Work town,Dusty town about an hour north; milking barn site and dangerous roof work.,Blackfoot,Work contract region and identity-pressure missions.,Factual place name; preserve distance and route logic.,Ch. 20; PDF pp. 165–166.
Oneida County,County work site,Milking barn and heavy steel work; dangerous Shear and crane operations.,Oneida County Site,Industrial systems and father/son conflict.,Use accurate agricultural construction details.,Chs. 15–16; PDF pp. 133–138.
