card_id,family,title,design_statement,gameplay_hook,pressure_or_tradeoff,canonical_anchor,visual_asset
LOC-07,Location,Cedar Gate Carnegie Library,"Books make unknown worlds physically reachable.","Research, browse, compare sources, use indexes, ask a librarian.","New language can clarify experience and expose painful gaps.","source locations",""
LOC-08,Location,Ridgeway Hardware,"A practical store turns evidence into ordinary objects and expert knowledge.","Compare parts, ask questions, inspect wear, buy repair supplies.","A shopkeeper's explanation may conflict with Abel's account.","Opening storyboard",""
LOC-09,Location,Cedar Gate Meetinghouse,"Faith is social practice, not a morality meter.","Service, worship, conversation, community requests, pastoral counsel.","Belonging can support Mara while also increasing social pressure.","World Bible; ADR-0005",""
LOC-10,Location,South Fork,"Backcountry competence opens routes that roads cannot.","Horse travel, herbs, tracking, cabins, river crossings.","Weather and distance turn preparation into meaningful choice.","World Bible",""
LOC-11,Location,Highline Pass,"The mountain becomes a navigation problem, weather system, and mystery space.","Climb, radio, prepare, shelter, search, retreat.","Curiosity competes with time, weather, and promises made at home.","World Bible","assets/gameplay-keyframes/10-ridge-signal.png"
LOC-12,Location,Echo Quarry,"Industrial work exposes the economics behind risk.","Contracts, equipment, hauling, negotiation, safety inspection.","Money can solve household problems while increasing unsafe pressure.","World Bible",""
LOC-13,Location,Wasatch College South Apartments,"Private routines reveal invisible social rules.","Roommate life, schedules, hygiene, Sabbath expectations, study.","Learning institutional norms can feel like learning a new language.","source/locations-30-58.csv",""
LOC-14,Location,Wasatch College Campus,"An unfamiliar institution becomes a navigable game space.","Registrar, Founders Auditorium, computer lab, Engineering Hall, buses.","Asking for help can save time but expose what Mara does not know.","source/locations-30-58.csv","assets/gameplay-keyframes/11-college-threshold.png"
LOC-15,Location,Trinity Great Court,"Historical scale turns education into embodied place.","Find room, follow porter, explore cloister, listen, study.","Expansion creates awe without erasing the pull of home.","source/locations-30-58.csv","assets/gameplay-keyframes/12-wider-world.png"
SYS-01,System,Repair and Salvage,"Machines are readable problems rather than button prompts.","Inspect, disassemble, compare wear, select tools, fabricate, test.","A faster solution can preserve time and increase hidden risk.","Gameplay Systems Bible","assets/gameplay-keyframes/03-hairline-crack.png"
SYS-02,System,Traversal and Weather,"Movement is planning, observation, and changing conditions.","Walk, climb, ride, drive, map routes, read weather.","Shortcuts trade time against exposure, equipment, and trust.","Gameplay Systems Bible","assets/gameplay-keyframes/06-county-road.png"
SYS-03,System,Care and Treatment,"Care is a decision under incomplete information.","Observe, gather, prepare, document, ask, call, transport.","Different choices affect health, cost, privacy, and family loyalty.","Gameplay Systems Bible","assets/gameplay-keyframes/05-mercy-house.png"
SYS-04,System,Conversation Intentions,"Dialogue expresses intent rather than a correct sentence.","Ask, challenge, reassure, deflect, joke, remain silent, leave.","The same words can land differently based on history and timing.","Gameplay Systems Bible","assets/gameplay-keyframes/08-supper-version.png"
SYS-05,System,Relationships,"Relationships hold several states at once.","Build trust, earn respect, create dependence, reduce fear, test loyalty, gain clarity.","Agreement can increase access while reducing self-trust or respect.","ADR-0003; Gameplay Systems Bible",""
SYS-06,System,Worldview Profiles,"Beliefs shape what characters notice and how they explain events.","Learn values through behavior, stories, work, worship, records, and conflict.","Understanding a worldview does not require agreeing with it.","ADR-0005; Gameplay Systems Bible",""
SYS-07,System,Evidence and Memory,"Truth is assembled from observation, testimony, records, and interpretation.","Collect, compare, annotate, revise, leave uncertainty open.","A stronger conclusion can still damage a relationship.","ADR-0004; Gameplay Systems Bible","assets/gameplay-keyframes/09-memory-journal.png"
SYS-08,System,Home Consequence Hub,"The world returns to breakfast, supper, chores, and private rooms.","Face rumors, changed resources, broken promises, new access, new silence.","A good outside outcome can create a difficult home consequence.","Gameplay Systems Bible","assets/gameplay-keyframes/02-breakfast-pressure.png"
SYS-09,System,Time Routine and Resources,"Days have work blocks, open hours, meals, and night reflection.","Choose tasks, spend favors, use parts, manage fatigue, respond to weather.","Doing one useful thing means leaving another thing undone.","World Bible; Gameplay Systems Bible",""
SYS-10,System,Capability and Fail Forward,"Progress expands what Mara can attempt rather than increasing combat power.","Grow mechanical skill, fieldcraft, observation, persuasion, history, self-direction, collaboration.","Failure changes the situation and can teach without forcing reload.","Gameplay Systems Bible",""
ENC-01,Encounter,The Hairline Crack,"A small mechanical clue challenges authority before a crisis exists.","Inspect, reinforce, continue, report, ask for help.","Delay can anger Abel while speed can carry danger forward.","Opening storyboard","assets/gameplay-keyframes/03-hairline-crack.png"
ENC-02,Encounter,Suspended Load,"The player reads space under pressure and acts before impact.","Cut power, stabilize, pull clear, shout.","Who acts first changes later trust and blame.","Opening storyboard","assets/gameplay-keyframes/04-suspended-load.png"
ENC-03,Encounter,Mercy House Choice,"Care becomes a conflict between practice, evidence, privacy, and outside help.","Prepare, document, ask, call clinic.","The practical choice becomes a family statement.","Opening storyboard","assets/gameplay-keyframes/05-mercy-house.png"
ENC-04,Encounter,County Road Small Talk,"A drive turns ordinary conversation into social comparison.","Drive, observe, answer, redirect, ask, stop.","An outsider can notice what Mara treats as normal.","Opening storyboard","assets/gameplay-keyframes/06-county-road.png"
ENC-05,Encounter,Hardware Evidence,"A replacement part becomes physical evidence about the earlier failure.","Compare, measure, ask shopkeeper, buy, conceal, report.","Evidence can challenge a family explanation without proving motive.","Opening storyboard",""
ENC-06,Encounter,Meetinghouse Counterpoint,"A familiar faith tradition produces a different ethical conclusion.","Listen, serve, ask, disagree, stay after, leave.","Religious belonging becomes more complex rather than simply weaker.","Opening storyboard; ADR-0005",""
ENC-07,Encounter,Supper Version,"The family converts the workday into a shared story.","Correct, soften, support, remain silent.","The version repeated tonight can shape tomorrow's access and trust.","Opening storyboard","assets/gameplay-keyframes/08-supper-version.png"
ENC-08,Encounter,Ridge Signal,"A distant signal turns curiosity into a route decision.","Prepare, investigate, retreat, radio for help.","Following the mystery may break a promise at home.","Opening storyboard","assets/gameplay-keyframes/10-ridge-signal.png"
WV-01,Worldview,Covenant Protection,"Safety comes through obedience, separation, preparation, and family unity.","Characters value readiness, loyalty, and protection from outside control.","Protection can preserve people or constrict growth.","World Bible; Gameplay Systems Bible",""
WV-02,Worldview,Stewardship Faith,"Faith is measured through care, humility, repair, and responsibility.","Service and practical care become religious actions.","Shared scripture can support different conclusions about duty.","World Bible; ADR-0005",""
WV-03,Worldview,Civic Trust,"Shared evidence and public institutions can protect where private systems fail.","Records, procedure, clinics, schools, and county response gain meaning.","Institutions can help while remaining slow, partial, or impersonal.","World Bible; Gameplay Systems Bible",""
WV-04,Worldview,Skeptical Pragmatism,"Test what works and distrust claims that cannot survive observation.","Practical tests and repeatable results guide decisions.","Useful results do not answer every moral or relational question.","World Bible; Gameplay Systems Bible",""
WV-05,Worldview,Scholarly Inquiry,"Sources, comparison, uncertainty, and revision are forms of strength.","Research changes what Mara can notice and name.","Better evidence can increase grief before it creates freedom.","World Bible; Gameplay Systems Bible","assets/gameplay-keyframes/11-college-threshold.png"
REL-01,Relationship State,Trust,"Will this person believe Mara's intent or account?","Private information, help, warnings, and vulnerability become available.","Trust can remain high while respect or agreement falls.","ADR-0003",""
REL-02,Relationship State,Respect,"Does this person value Mara's judgment and capability?","Others accept plans, tools, boundaries, and expertise.","Compliance can increase trust while decreasing respect.","ADR-0003",""
REL-03,Relationship State,Dependence,"How much does each person need the other for work, care, money, access, or identity?","Shared tasks and resources create practical bonds.","Dependence can preserve connection after affection weakens.","ADR-0003",""
REL-04,Relationship State,Fear,"What consequence does this person expect from disagreement or loss?","Tone, hesitation, avoidance, preparation, and secrecy change.","Fear can coexist with love and loyalty.","ADR-0003",""
REL-05,Relationship State,Loyalty,"Whose side will this person protect when stories conflict?","Characters defend, conceal, corroborate, or distance themselves.","Loyalty can support care or suppress accountability.","ADR-0003",""
REL-06,Relationship State,Clarity,"How well does Mara understand this person's values, patterns, limits, and contradictions?","New dialogue intentions and predictions become possible.","Clarity gives options, not control over another person.","ADR-0003",""
KF-01,Gameplay Keyframe,Ridge Dawn,"Home and the outside world compete for attention before the first task.","Look, climb down, mark smoke, choose first destination.","Attention itself becomes the first player choice.","VISUAL_PROOF_OF_PLAY","assets/gameplay-keyframes/01-ridge-dawn.png"
KF-02,Gameplay Keyframe,Breakfast Pressure,"The workday begins inside a relationship system.","Answer, joke, ask about the call, stay silent.","The response changes tone before the yard tutorial starts.","VISUAL_PROOF_OF_PLAY","assets/gameplay-keyframes/02-breakfast-pressure.png"
KF-03,Gameplay Keyframe,Hairline Crack,"Competence and authority conflict around one readable flaw.","Inspect, reinforce, continue, call someone over.","The player can trade approval for safety or certainty.","VISUAL_PROOF_OF_PLAY","assets/gameplay-keyframes/03-hairline-crack.png"
KF-04,Gameplay Keyframe,Suspended Load,"Danger arrives through a system the player already understands.","Cut power, stabilize, pull clear, shout.","Action changes later accounts of responsibility.","VISUAL_PROOF_OF_PLAY","assets/gameplay-keyframes/04-suspended-load.png"
KF-05,Gameplay Keyframe,Mercy House,"Care creates a choice without a perfect answer preview.","Help Ruth, document, ask, call clinic.","The player acts before knowing every consequence.","VISUAL_PROOF_OF_PLAY","assets/gameplay-keyframes/05-mercy-house.png"
KF-06,Gameplay Keyframe,County Road,"Movement, observation, and conversation occur at the same time.","Drive, choose route, watch weather, talk.","The outside perspective enters through ordinary small talk.","VISUAL_PROOF_OF_PLAY","assets/gameplay-keyframes/06-county-road.png"
KF-07,Gameplay Keyframe,Cedar Gate,"The town is a navigable social space rather than a quest menu.","Run errand, visit library, enter opera house, observe locals.","Reputation changes how strangers and acquaintances approach Mara.","VISUAL_PROOF_OF_PLAY","assets/gameplay-keyframes/07-cedar-gate.png"
KF-08,Gameplay Keyframe,Supper Version,"A practical event becomes contested memory at home.","Correct, soften, support, stay silent.","The story repeated tonight can become tomorrow's family fact.","VISUAL_PROOF_OF_PLAY","assets/gameplay-keyframes/08-supper-version.png"
KF-09,Gameplay Keyframe,Memory Journal,"The player separates observation, testimony, and interpretation.","Sort, compare, revise, leave uncertain.","An earlier conclusion remains visible after revision.","VISUAL_PROOF_OF_PLAY","assets/gameplay-keyframes/09-memory-journal.png"
KF-10,Gameplay Keyframe,Ridge Signal,"Curiosity opens the map and creates a social cost.","Prepare, investigate, retreat, radio for help.","Exploration can break a promise or consume needed time.","VISUAL_PROOF_OF_PLAY","assets/gameplay-keyframes/10-ridge-signal.png"
KF-11,Gameplay Keyframe,College Threshold,"Institutional rules become a new exploration problem.","Check map, ask student, follow crowd, visit registrar.","Missing knowledge is treated as missing access rather than low intelligence.","VISUAL_PROOF_OF_PLAY","assets/gameplay-keyframes/11-college-threshold.png"
KF-12,Gameplay Keyframe,Wider World,"The map expands without declaring the earlier world meaningless.","Follow porter, find room, explore cloister, stop and listen.","Awe and loss remain present together.","VISUAL_PROOF_OF_PLAY","assets/gameplay-keyframes/12-wider-world.png"
